Id,Insert your age,How would you rate your overall health?,Does your work require sitting or moving more ?,How often do you get around on foot or by bicycle? ,How would you rate the amount of stress in your life? 
,24,3,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,26,3,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,High
,54,5,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,Low
,28,3,Moderate (involves both sitting and moving),Less than once a week,High
,25,5,Mostly moving (Involves movement more than 3days per week),1-2 times a week,Medium
,21,4,Mostly moving (Involves movement more than 3days per week),Almost always,High
,20,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,29,3,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,53,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,23,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
,31,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,High
,56,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,High
,32,3,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,Medium
,32,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
,31,4,Moderate (involves both sitting and moving),1-2 times a week,Medium
,32,4,Moderate (involves both sitting and moving),> 3 times a week,Low
,32,4,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,Medium
,23,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
,53,5,Mostly moving (Involves movement more than 3days per week),Less than once a week,Medium
,23,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,23,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,20,2,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,Medium
,22,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,19,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,20,3,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,19,3,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,Low
,18,5,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,19,5,Moderate (involves both sitting and moving),Almost always,Medium
,10,5,Mostly moving (Involves movement more than 3days per week),Almost always,Low
,25,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Low
,22,5,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,23,5,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,20,3,Mostly sitting (Involves movement less than 30 minutes per week),Less than once a week,High
,19,5,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,22,2,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,High
,21,4,Moderate (involves both sitting and moving),Almost always,Medium
,21,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,20,5,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
,22,5,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,High
,22,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,24,4,Mostly moving (Involves movement more than 3days per week),Almost always,Medium
,23,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,21,4,Mostly sitting (Involves movement less than 30 minutes per week),1-2 times a week,Medium
,20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,20,4,Mostly sitting (Involves movement less than 30 minutes per week),Almost always,Medium
,20,4,Mostly sitting (Involves movement less than 30 minutes per week),> 3 times a week,Medium
,,,,,
,30,5,Moderate (involves both sitting and moving),rarely,Average
,34,4,Mostly sitting (Involves movement less than 30 minutes per week),rarely,high
,28,5,Moderate (involves both sitting and moving),Most of the time,Average
,20,4,Moderate (involves both sitting and moving),rarely,Average
,23,4,Mostly moving (Involves movement more than 3days per week),Most of the time,Average
,25,4,Moderate (involves both sitting and moving),Most of the time,high
,20,3,Moderate (involves both sitting and moving),Most of the time,high
1,23,3,Mostly moving (Involves movement more than 3days per week),> 3 times a week,Low
1,23,3,Mostly moving (Involves movement more than 3days per week),> 3 times a week,Medium
